"global_id";"Code";"Category";"FullName";"ShortName";"OrgInfo";"ObjectAddress";"ChiefName";"ChiefPosition";"ChiefGender";"ChiefPhone";"PublicPhone";"Fax";"Email";"CloseFlag";"CloseReason";"CloseDate";"ReopenDate";"BedSpace";"PaidServiceInfo";"WorkingHours";"ClarificationWorkingHours";"Specialization";"BeneficialDrugPrescription";"DrugStore";"AmbulanceStation";"AmbulanceStationPhone";"DoctorsSpecialtiesList";"DoctorSpecialitesList";"Extrainfo";"AgeRestriction";"DrugStoreType";"EntryState";"geoData";"geodata_center";
"656106997";"";"Стоматологическая поликлиника взрослая";"Государственное автономное учреждение здравоохранения города Москвы «Стоматологическая поликлиника № 53 Департамента здравоохранения города Москвы». Стоматологическое отделение № 2";"ГАУЗ СП № 53 ДЗМ. Стоматологическое отделение № 2";"nested data";"nested data";"Колтунов Дмитрий Ефимович";"главный врач";"мужской";"nested data";"nested data";"nested data";"nested data";"действует";"";"";"";"";"отсутствуют";"nested data";"";"";"";"нет";"да";"nested data";"";"nested data";"";"";"";"";"{coordinates=[[37.640150026, 55.756436595]], type=MultiPoint}";"{coordinates=[37.640150026, 55.756436595], type=Point}";
"656107065";"";"Стоматологическая поликлиника взрослая";"Государственное автономное учреждение здравоохранения города Москвы «Стоматологическая поликлиника № 24 Департамента здравоохранения города Москвы»";"ГАУЗ СП № 24 ДЗМ";"nested data";"nested data";"Гринев Андрей Валентинович";"главный врач";"мужской";"nested data";"nested data";"nested data";"nested data";"действует";"";"";"";"";"Платные услуги (терапия, хирургия, ортопедия в полном объеме с использованием современных материалов и технологий, импортная анестезия) оказываются всем обратившимся вне зависимости от проживания и гражданства.";"nested data";"";"";"";"нет";"нет";"nested data";"";"nested data";"";"взрослое";"";"";"{coordinates=[[37.607179244, 55.653877341]], type=MultiPoint}";"{coordinates=[37.607179244, 55.653877341], type=Point}";
"656107108";"";"Стоматологическая поликлиника взрослая";"Государственное автономное учреждение здравоохранения города Москвы «Стоматологическая поликлиника № 14 Департамента здравоохранения города Москвы»";"ГАУЗ СП № 14 ДЗМ";"nested data";"nested data";"Винтина Елена Арнольдовна";"главный врач";"женский";"nested data";"nested data";"nested data";"nested data";"действует";"";"";"";"";"оказываются";"nested data";"";"";"";"нет";"нет";"nested data";"";"nested data";"Проезд: м. &quot;Сходненская&quot;, трам. 6 до ост. &quot;ул. Мещерякова&quot;.";"взрослое";"";"";"{coordinates=[[37.452523032, 55.831536149]], type=MultiPoint}";"{coordinates=[37.452523032, 55.831536149], type=Point}";
"656107229";"";"Стоматологическая поликлиника взрослая";"Государственное автономное учреждение здравоохранения города Москвы «Стоматологическая поликлиника № 49 Департамента здравоохранения города Москвы»";"ГАУЗ СП № 49 ДЗМ";"nested data";"nested data";"Аверина Светлана Дмитриевна";"главный врач";"женский";"nested data";"nested data";"nested data";"nested data";"действует";"";"";"";"";"оказываются";"nested data";"";"";"";"нет";"нет";"nested data";"";"nested data";"Проезд: м. Водный стадион, далеее авт. № 65 до остановки &quot;Солнечногосская ул. 15&quot;.";"взрослое";"";"";"{coordinates=[[37.524202761, 55.859696307]], type=MultiPoint}";"";
"656107276";"";"Стоматологическая поликлиника взрослая";"Государственное автономное учреждение здравоохранения города Москвы «Стоматологическая поликлиника № 15 Департамента здравоохранения города Москвы»";"ГАУЗ СП № 15 ДЗМ";"nested data";"nested data";"Мелехин Дмитрий Николаевич";"исполняющий обязанности главного врача";"мужской";"nested data";"nested data";"nested data";"nested data";"действует";"";"";"";"";"оказываются";"nested data";"только неотложная стоматологическая помощь: Суббота с 08:00 до 09:00 и с 18:00 до 20:00,в воскресные и праздничные дни работает отделение неотложной помощи с 8 до 20.00";"";"";"нет";"да";"nested data";"";"nested data";"Проезд: м. &quot;Алексеевская&quot;, далее пешком 3-5 минут.";"взрослое";"";"";"{coordinates=[[37.640211037, 55.809588113]], type=MultiPoint}";"";
"656107294";"";"Стоматологическая поликлиника взрослая";"Государственное автономное учреждение здравоохранения города Москвы «Стоматологическая поликлиника № 34 Департамента здравоохранения города Москвы»";"ГАУЗ СП № 34 ДЗМ";"nested data";"nested data";"Крутер Ирина Викторовна";"главный врач";"женский";"nested data";"nested data";"nested data";"nested data";"действует";"";"";"";"";"оказываются";"nested data";"";"";"";"нет";"нет";"nested data";"";"nested data";"Проезд: м. &quot;Волжская&quot;, &quot;Текстильщики&quot;, авт. &quot;В &quot;, 231, трол. 27, 38, 74.";"взрослое";"";"";"{coordinates=[[37.747647149, 55.694690842]], type=MultiPoint}";"{coordinates=[37.747647149, 55.694690842], type=Point}";
"656107296";"";"Стоматологическая поликлиника взрослая";"Государственное автономное учреждение здравоохранения города Москвы «Стоматологическая поликлиника № 8 Департамента здравоохранения города Москвы»";"ГАУЗ СП № 8 ДЗМ";"nested data";"nested data";"Цатурова Юлия Владиславовна";"главный врач";"женский";"nested data";"nested data";"nested data";"nested data";"действует";"";"";"";"";"оказываются";"nested data";"";"";"";"нет";"да";"nested data";"";"nested data";"Проезд: м. Первомайская, далее пешком.";"взрослое";"";"";"{coordinates=[[37.794353516, 55.794844108]], type=MultiPoint}";"{coordinates=[37.794353516, 55.794844108], type=Point}";
"656107328";"";"Стоматологическая поликлиника взрослая";"Государственное автономное учреждение здравоохранения города Москвы «Стоматологическая поликлиника № 5 Департамента здравоохранения города Москвы»";"ГАУЗ СП № 5 ДЗМ";"nested data";"nested data";"Абаев Зоинбек Мюратович";"главный врач";"мужской";"nested data";"nested data";"nested data";"nested data";"действует";"";"";"";"";"оказываются";"nested data";"По выходным и праздничным дням неотложная стоматологическая помощь оказывается всему взрослому населению независимо от места жительства.";"";"";"нет";"да";"nested data";"";"nested data";"";"взрослое";"";"";"{coordinates=[[37.417155354, 55.771368141]], type=MultiPoint}";"{coordinates=[37.417155354, 55.771368141], type=Point}";
"656107399";"";"Стоматологическая поликлиника взрослая";"Государственное автономное учреждение здравоохранения города Москвы «Стоматологическая поликлиника № 23 Департамента здравоохранения города Москвы»";"ГАУЗ СП № 23 ДЗМ";"nested data";"nested data";"Тер-Абрамян Давид Рубенович";"главный врач";"мужской";"nested data";"nested data";"nested data";"nested data";"действует";"";"";"";"";"оказываются";"nested data";"";"";"";"нет";"нет";"nested data";"";"nested data";"";"взрослое";"";"";"{coordinates=[[37.563155929, 55.745545607]], type=MultiPoint}";"{coordinates=[37.563155929, 55.745545607], type=Point}";
"656107453";"";"Стоматологическая поликлиника взрослая";"Государственное автономное учреждение здравоохранения города Москвы «Стоматологическая поликлиника № 9 Департамента здравоохранения города Москвы»";"ГАУЗ СП № 9 ДЗМ";"nested data";"nested data";"Иванникова Марина Викторовна";"главный врач";"женский";"nested data";"nested data";"nested data";"nested data";"действует";"";"";"";"";"оказываются";"nested data";"";"";"";"нет";"нет";"nested data";"";"nested data";"Проезд: м. Войковская, 1-ый вагон из центра, выход к к/т &quot;Варшава&quot;, далее авт. 179, 191, 204, 282 до ост. &quot;к/т &quot;Рассвет&quot";"взрослое";"";"";"{coordinates=[[37.516342008, 55.822047858]], type=MultiPoint}";"";
"656107454";"";"Стоматологическая поликлиника взрослая";"Государственное автономное учреждение здравоохранения города Москвы «Стоматологическая поликлиника № 64 Департамента здравоохранения города Москвы»";"ГАУЗ СП № 64 ДЗМ";"nested data";"nested data";"Ефремова Елизавета Владимировна";"главный врач";"женский";"nested data";"nested data";"nested data";"nested data";"действует";"";"";"";"";"оказываются";"nested data";"пн-пт по платным услугам с 08.00-22.00";"";"";"нет";"да";"nested data";"";"nested data";"Проезд: станция метро Бульвар Дмитрия Донского, пешком 2-3 минуты";"взрослое";"";"";"{coordinates=[[37.579129018, 55.568705368]], type=MultiPoint}";"";
"656107505";"";"Стоматологическая поликлиника взрослая";"Государственное автономное учреждение здравоохранения города Москвы «Стоматологическая поликлиника № 51 Департамента здравоохранения города Москвы»";"ГАУЗ СП № 51 ДЗМ";"nested data";"nested data";"Басова Александра Анатольевна";"главный врач";"женский";"nested data";"nested data";"nested data";"nested data";"действует";"";"";"";"";"оказываются";"nested data";"в выходные и праздничные дни работает отделение неотложной помощи с 8 до 20.00";"";"";"нет";"да";"nested data";"";"nested data";"Отделение Неотложной стоматологической помощи 8 (499) 356-13-31";"взрослое";"";"";"{coordinates=[[37.717877903, 55.649806678]], type=MultiPoint}";"";
"656107506";"";"Стоматологическая поликлиника взрослая";"Государственное автономное учреждение здравоохранения города Москвы «Стоматологическая поликлиника № 23 Департамента здравоохранения города Москвы». Ортопедическое отделение";"ГАУЗ СП № 23 ДЗМ. Ортопедическое отделение";"nested data";"nested data";"Тер-Абрамян Давид Рубенович";"главный врач";"мужской";"nested data";"nested data";"nested data";"nested data";"действует";"";"";"";"";"оказываются";"nested data";"Отделение платных услуг в субботние дни работает с 09:00 до 15:00";"";"";"нет";"нет";"nested data";"";"nested data";"";"взрослое";"";"";"{coordinates=[[37.562135708, 55.744625017]], type=MultiPoint}";"{coordinates=[37.562135708, 55.744625017], type=Point}";
"656107613";"";"Стоматологическая поликлиника взрослая";"Государственное автономное учреждение здравоохранения города Москвы «Стоматологическая поликлиника № 35 Департамента здравоохранения города Москвы»";"ГАУЗ СП № 35 ДЗМ";"nested data";"nested data";"Гусев Андрей Борисович";"главный врач";"мужской";"nested data";"nested data";"nested data";"nested data";"действует";"";"";"";"";"оказываются";"nested data";"В воскресные и праздничные дни неотложная стоматологическая помощь с 8:00 до 20:00";"";"";"нет";"да";"nested data";"";"nested data";"Условия приема: Жители Зеленограда (взрослые и дети), проживающие в 8, 9, 10, 11, 12, 14, 15, 16, 18, 20 микрорайонах. По острой боли – все граждане.";"взрослое";"";"";"{coordinates=[[37.15931844, 55.976602505]], type=MultiPoint}";"";
"656107640";"";"Стоматологическая поликлиника взрослая";"Государственное автономное учреждение здравоохранения города Москвы «Стоматологическая поликлиника № 56 Департамента здравоохранения города Москвы»";"ГАУЗ СП № 56 ДЗМ";"nested data";"nested data";"Фирфаров Константин Владимирович";"главный врач";"мужской";"nested data";"nested data";"nested data";"nested data";"действует";"";"";"";"";"оказываются";"nested data";"";"";"";"нет";"нет";"nested data";"";"nested data";"Проезд: м. &quot;Преображенская площадь&quot;, от метро пешком 5-7 минут, либо на трамвае № 36, №11 – ост. «Черкизовская» (2-я остановка)";"взрослое";"";"";"{coordinates=[[37.721660072, 55.801008385]], type=MultiPoint}";"";
"656107751";"";"Стоматологическая поликлиника взрослая";"Государственное автономное учреждение здравоохранения города Москвы «Стоматологическая поликлиника № 48 Департамента здравоохранения города Москвы»";"ГАУЗ СП № 48 ДЗМ";"nested data";"nested data";"Эллер Марина Владимировна";"главный врач";"женский";"nested data";"nested data";"nested data";"nested data";"действует";"";"";"";"";"оказываются";"nested data";"В субботу 9-00 до 18-00 (прием пациентов с острой болью)";"";"";"нет";"нет";"nested data";"";"nested data";"";"взрослое";"";"";"{coordinates=[[37.525150634, 55.645109359]], type=MultiPoint}";"";
"656107807";"";"Стоматологическая поликлиника взрослая";"Государственное автономное учреждение здравоохранения города Москвы «Стоматологическая поликлиника № 27 Департамента здравоохранения города Москвы";"ГАУЗ СП № 27 ДЗМ";"nested data";"nested data";"Коваленко Алексей Николаевич";"главный врач";"мужской";"nested data";"nested data";"nested data";"nested data";"действует";"";"";"";"";"оказываются";"nested data";"";"";"";"нет";"нет";"nested data";"";"nested data";"Проезд: станция метро «Кожуховская», далее пешком, метро «Автозаводская», автобус 186.";"взрослое";"";"";"{coordinates=[[37.676357611, 55.707291817]], type=MultiPoint}";"{coordinates=[37.676357611, 55.707291817], type=Point}";
"656107809";"";"Стоматологическая поликлиника взрослая";"Государственное автономное учреждение здравоохранения города Москвы «Стоматологическая поликлиника № 34 Департамента здравоохранения города Москвы». Ортопедическое отделение";"ГАУЗ СП № 34 ДЗМ. Ортопедическое отделение";"nested data";"nested data";"Крутер Ирина Викторовна";"главный врач";"женский";"nested data";"nested data";"nested data";"nested data";"действует";"";"";"";"";"стоматология терапевтическая, стоматология хирургическая, стоматология пародонтологическая, стоматология ортопедическая, физиотерапевтическое лечение стоматологических заболеваний, R - диагностика";"nested data";"";"";"";"нет";"нет";"nested data";"";"nested data";"";"";"";"";"{coordinates=[[37.749066641, 55.699407203]], type=MultiPoint}";"";
